# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
C	UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__sorted_vectors__sorted_vectors.adb_14_31_range_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/L926-036__loopinv__counters.adb_18_21_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #4050 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/L926-036__loopinv__counters.adb_18_21_overflow_check___00.smt2	71	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/LC17-035__update_attribute_multidim__update_checks.adb_101_34_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
F	UFDTLIRA/20200306-Kanig/spark2014bench/LC17-035__update_attribute_multidim__update_checks.adb_69_44_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
F	UFDTLIRA/20200306-Kanig/spark2014bench/M123-014__loops__loops.adb_9_33_loop_invariant_init___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	14	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=10 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=5 sym_exact=1 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	14	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=10 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=5 sym_exact=1 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M213-022__flow_loops__test.adb_134_17_range_check___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/M218-008__contract_cases__subprograms.ads_32_11_disjoint_contract_cases___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M220-043__ghost__semantics.adb_16_10_loop_variant___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/M220-043__ghost__semantics.adb_16_10_loop_variant___00.smt2	16	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/M220-043__ghost__semantics.adb_16_10_loop_variant___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M301-035__flow__interprocedural_analysis_tests__single_compilation_unit.adb_94_17_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/M314-016__flow_bug_nonunique_tags__segway.adb_16_28_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M318-017__flow_variant_records__test.adb_23_12_discriminant_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2225 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/M318-017__flow_variant_records__test.adb_23_12_discriminant_check___00.smt2	21	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M409-046__subtype__main.adb_6_14_predicate_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/M417-029__flow_bug_unexpected_node__time.ads_27_8_contract_case___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #7270 has sort (Uninterpreted 5) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/M417-029__flow_bug_unexpected_node__time.ads_27_8_contract_case___00.smt2	36	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/M503-001__typinv__inside_out.adb_30_15_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M603-021__volatile_input_proofs__port.ads_68_34_postcondition___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/M801-016__flow_contract_cases__contract_cases.adb_19_38_contract_case___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__decimal_fixed.adb_31_22_assert2___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/M830-022__missing_theory_import_for_contract_cases__state_machine.adb_39_17_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/MA28-033__flow_null_calls_ineffective__p.adb_117_32_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/MA29-016__flow_refinement__levels.adb_127_61_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
F	UFDTLIRA/20200306-Kanig/spark2014bench/MB06-039__private_type_with_a_container_component__a-cofuve.ads_300_52_a-cofove.ads_87_7_fail.ads_14_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	2	DTARG-CENSUS pairs=37 dt_result=2 dt_result_inexact=2 args=22 sym_exact=0 sym_inexact=10 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=6 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	4	DTARG-CENSUS pairs=6 dt_result=2 dt_result_inexact=2 args=12 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=4 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	10	DTARG-CENSUS pairs=9 dt_result=2 dt_result_inexact=2 args=13 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=4 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_62_54_precondition___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_62_54_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/MB27-015__record_default_init__fsb.adb_24_16_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/N110-032__list_conversion__a-cofuve.ads_238_59_a-cfdlli.ads_69_7_my_lists.ads_11_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N219-007__flow_records_with_constrained_records__foo.adb_19_18_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	2	DTARG-CENSUS pairs=34 dt_result=0 dt_result_inexact=0 args=17 sym_exact=0 sym_inexact=13 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	2	DTARG-CENSUS pairs=7 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N317-015__inlining__incr_expr_fun.adb_20_40_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N320-038__initialassume__full.ads_9_20_postcondition___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N519-003__flow_warning__warn.adb_4_11_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2557 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	37	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_109_15_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTARG-CENSUS pairs=34 dt_result=0 dt_result_inexact=0 args=17 sym_exact=0 sym_inexact=15 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTARG-CENSUS pairs=7 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=7 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N708-013__flow_untangle_untangle__foo.adb_34_33_loop_invariant_preserv___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	2	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	6	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
