# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	20	DTARG-CENSUS pairs=12 dt_result=2 dt_result_inexact=1 args=26 sym_exact=16 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	4	DTARG-CENSUS pairs=18 dt_result=2 dt_result_inexact=1 args=28 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	6	DTARG-CENSUS pairs=6 dt_result=2 dt_result_inexact=1 args=20 sym_exact=10 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_187_22_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	8	DTARG-CENSUS pairs=101 dt_result=2 dt_result_inexact=1 args=57 sym_exact=38 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=18 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	4	DTARG-CENSUS pairs=1275 dt_result=2 dt_result_inexact=1 args=148 sym_exact=91 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=56 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	8	DTARG-CENSUS pairs=169 dt_result=2 dt_result_inexact=1 args=64 sym_exact=41 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=22 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	4	DTARG-CENSUS pairs=50 dt_result=2 dt_result_inexact=1 args=48 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=27 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	8	DTARG-CENSUS pairs=118 dt_result=2 dt_result_inexact=1 args=68 sym_exact=39 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=28 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	4	DTARG-CENSUS pairs=1351 dt_result=2 dt_result_inexact=1 args=165 sym_exact=98 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=66 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	8	DTARG-CENSUS pairs=187 dt_result=2 dt_result_inexact=1 args=75 sym_exact=42 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	4	DTARG-CENSUS pairs=65 dt_result=2 dt_result_inexact=1 args=59 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=38 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	4	DTARG-CENSUS pairs=140 dt_result=2 dt_result_inexact=1 args=81 sym_exact=24 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=56 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	4	DTARG-CENSUS pairs=2821 dt_result=2 dt_result_inexact=1 args=236 sym_exact=133 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=102 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	8	DTARG-CENSUS pairs=289 dt_result=2 dt_result_inexact=1 args=98 sym_exact=45 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=52 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	8	DTARG-CENSUS pairs=450 dt_result=2 dt_result_inexact=1 args=108 sym_exact=49 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=58 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	8	DTARG-CENSUS pairs=110 dt_result=2 dt_result_inexact=1 args=49 sym_exact=34 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=14 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	4	DTARG-CENSUS pairs=1520 dt_result=2 dt_result_inexact=1 args=149 sym_exact=90 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=58 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	4	DTARG-CENSUS pairs=17 dt_result=2 dt_result_inexact=1 args=33 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	8	DTARG-CENSUS pairs=44 dt_result=2 dt_result_inexact=1 args=41 sym_exact=30 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=10 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_261_42_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	4	DTARG-CENSUS pairs=102 dt_result=1 dt_result_inexact=0 args=43 sym_exact=11 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	8	DTARG-CENSUS pairs=11 dt_result=1 dt_result_inexact=0 args=16 sym_exact=9 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=7 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	2	DTARG-CENSUS pairs=2043 dt_result=1 dt_result_inexact=0 args=191 sym_exact=70 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=121 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	4	DTARG-CENSUS pairs=54 dt_result=1 dt_result_inexact=0 args=18 sym_exact=15 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	2	DTARG-CENSUS pairs=567 dt_result=1 dt_result_inexact=0 args=104 sym_exact=50 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=54 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_278_25_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	4	DTARG-CENSUS pairs=17 dt_result=2 dt_result_inexact=1 args=31 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	8	DTARG-CENSUS pairs=44 dt_result=2 dt_result_inexact=1 args=39 sym_exact=28 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=10 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	4	DTARG-CENSUS pairs=546 dt_result=2 dt_result_inexact=1 args=101 sym_exact=64 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=36 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	8	DTARG-CENSUS pairs=64 dt_result=2 dt_result_inexact=1 args=43 sym_exact=30 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_31_15_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTARG-CENSUS pairs=34 dt_result=1 dt_result_inexact=0 args=48 sym_exact=22 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=26 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTARG-CENSUS pairs=39 dt_result=1 dt_result_inexact=0 args=49 sym_exact=39 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=10 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTARG-CENSUS pairs=6 dt_result=1 dt_result_inexact=0 args=13 sym_exact=10 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTARG-CENSUS pairs=78 dt_result=1 dt_result_inexact=0 args=57 sym_exact=43 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=14 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	2	DTARG-CENSUS pairs=844 dt_result=1 dt_result_inexact=0 args=139 sym_exact=93 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=46 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	4	DTARG-CENSUS pairs=135 dt_result=1 dt_result_inexact=0 args=45 sym_exact=25 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=20 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	2	DTARG-CENSUS pairs=2627 dt_result=1 dt_result_inexact=0 args=203 sym_exact=88 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=115 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	8	DTARG-CENSUS pairs=4 dt_result=1 dt_result_inexact=0 args=16 sym_exact=14 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	4	DTARG-CENSUS pairs=410 dt_result=1 dt_result_inexact=0 args=78 sym_exact=46 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	2	DTARG-CENSUS pairs=633 dt_result=1 dt_result_inexact=0 args=99 sym_exact=59 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=40 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_62_19_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	1	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=4 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=15 sym_exact=0 sym_inexact=0 ctor_exact=15 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTARG-CENSUS pairs=19 dt_result=0 dt_result_inexact=0 args=31 sym_exact=10 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	4	DTARG-CENSUS pairs=3 dt_result=0 dt_result_inexact=0 args=17 sym_exact=0 sym_inexact=0 ctor_exact=17 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTARG-CENSUS pairs=308 dt_result=1 dt_result_inexact=0 args=92 sym_exact=32 sym_inexact=0 ctor_exact=40 ctor_inexact=0 apply_exact=20 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	4	DTARG-CENSUS pairs=7 dt_result=0 dt_result_inexact=0 args=15 sym_exact=10 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	2	DTARG-CENSUS pairs=1356 dt_result=1 dt_result_inexact=0 args=126 sym_exact=46 sym_inexact=0 ctor_exact=22 ctor_inexact=0 apply_exact=58 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	8	DTARG-CENSUS pairs=26 dt_result=1 dt_result_inexact=0 args=25 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=15 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	2	DTARG-CENSUS pairs=356 dt_result=1 dt_result_inexact=0 args=72 sym_exact=24 sym_inexact=0 ctor_exact=16 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	4	DTARG-CENSUS pairs=37 dt_result=1 dt_result_inexact=0 args=27 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=17 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	4	DTARG-CENSUS pairs=67 dt_result=1 dt_result_inexact=0 args=21 sym_exact=10 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=7 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_47_19_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_54_16_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	2	DTARG-CENSUS pairs=2788 dt_result=1 dt_result_inexact=0 args=229 sym_exact=90 sym_inexact=0 ctor_exact=28 ctor_inexact=0 apply_exact=111 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	4	DTARG-CENSUS pairs=315 dt_result=1 dt_result_inexact=0 args=54 sym_exact=40 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=9 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	8	DTARG-CENSUS pairs=50 dt_result=1 dt_result_inexact=0 args=46 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=38 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	4	DTARG-CENSUS pairs=63 dt_result=1 dt_result_inexact=0 args=48 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=38 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	2	DTARG-CENSUS pairs=707 dt_result=1 dt_result_inexact=0 args=127 sym_exact=50 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=56 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
