id	crate	file	line	test	generator	iterations	box	property	counterexample_class	concrete_instance	reachable	reason	method	notes	disposition
R115	axeyum-cas	crates/axeyum-cas/tests/telescoping_identities.rs	128	alternating_binomial_row_sum_vanishes	sweep	9 x 17 = 153 evaluations	n in 1..=9; k in -2..=14 (window) after a certificate over n in [1..7], (-2,14)	the alternating row sum evaluates to 0 at every n	k outside the support on both sides (negative k and k > n)	n=1 k=14; k=-2	yes	window covers both	read	n = 0 (where the identity fails and the recurrence's leading coefficient vanishes) is deliberately outside the box	n/a
R116	axeyum-cas	crates/axeyum-cas/tests/telescoping_identities.rs	522	symbolic_and_concrete_evaluation_agree_on_bound_points	sweep	7 x 11 = 77 (asserted)	n in 0..=6; k in -2..=8 on C(n,k)^2	symbolic evaluation == concrete evaluation	points outside the support (k < 0, k > n) where Gamma poles must give 0 in both routes	n=6 k=8; n=0 k=-2	yes	in the window	read	negative n (a Gamma pole in the NUMERATOR) is outside the box; both routes may decline there but that is not compared	n/a
R117	axeyum-cnf	crates/axeyum-cnf/examples/drat_stream_dump.rs	128	main (random 3-SAT family)	seed-list	vars in [20,30,40,50,60] x 6 repeats (SplitMix64 seed 0x2026_0906_0000_0056)	distinct-var 3-SAT at 4.26 n	none asserted: the example prints verdict + proof text for measurement docs	n/a	n/a	not-applicable	the example checks nothing (no check_drat, no model replay); its output is consumed by the s6/s7 measurement notes	n/a	listed because the brief names it; it is a dump, not a test	n/a
R118	axeyum-cnf	crates/axeyum-cnf/src/bve.rs	902	random_formulas_stay_equisatisfiable_and_reconstruct	lcg	400 (xorshift seed 0xDEAD_BEEF_CAFE_F00D)	NVARS=5; clauses 1..=10; width 1..=3; repeats and tautologies allowed	eliminate_variables keeps satisfiability (brute force) and every reduced model reconstructs to a model of the original	a variable whose non-tautological resolvent count is EXACTLY |pos|+|neg|+growth (growth=0), the boundary of the `>` test at line 417	x in (x or a),(x or b) and (not x or c),(not x or d): 4 resolvents = 2 + 2	yes	xorshift low bits are not degenerate; census of the initial formula finds such a variable in 77 of 400 formulas (elimination order not replayed, so this is a lower-bound proxy)	ran hits=77/400 seed=0xDEADBEEFCAFEF00D	also reachable: unit pair giving the empty resolvent 56/400, UNSAT 95/400, pure literals in 798 var-slots; unreachable but cost-only: occurrence_limit=100 and clause_size_limit=100 (<= 10 clauses, resolvent width <= 4)	n/a
R119	axeyum-cnf	crates/axeyum-cnf/src/clause_db_policy.rs	906	max_used_sets_how_many_rounds_a_tier1_clause_survives	seed-list	max_used in [1,4,31]	u8 knob values 1, 4, 31	a tier1 clause survives exactly max_used rounds	max_used = 0 (counter starts at 0, Tier1Used never true) and max_used = 255 (saturating_sub at u8::MAX)	policy.max_used = 0	no	the list's minimum is 1 (the special floored-grace case) and maximum 31	read	low value	structural-open
R120	axeyum-cnf	crates/axeyum-cnf/src/colouring.rs	1269	brute_force_and_encoder_views_agree_on_pseudorandom_colourings	lcg	64 colourings x 3 families = 192 (state 0x2026_0812)	24 points; 3 colours; colour = ((state>>33) % 3) + 1; families Rado(4,3), Schur, VdW(3)	family.first_violation is None iff encoder first_monochromatic is None	a VALID colouring (no monochromatic solution), so the None == None branch is exercised	the 2-colouring [1,1,2,2,1,1,2,2] shape extended to 24 points for VdW(3)	no	replication: 0 of the 192 colourings is violation-free (Schur: impossible at 24 >= R_3 = 14; Rado(4,3) and VdW(3) admit valid 3-colourings of 24 points but no random one hits); an encoder view that reports a violation unconditionally passes all 192 comparisons	ran hits=0/192 seed=0x20260812		structural-open
R121	axeyum-cnf	crates/axeyum-cnf/src/compact.rs	388	random_bve_compact_roundtrip_is_sound	lcg	400 (xorshift seed 0x0C0F_FEE0_BADC_0DE5)	NVARS=6 with vars drawn from 0..5 (var 5 always dead); clauses 1..=8; width 1..=3	BVE + compact keeps satisfiability; expand-then-extend of a compacted model satisfies the original	a dead variable strictly BETWEEN live ones (a numbering gap the renumbering map must skip, not just a truncated tail)	vars {0,2,4} used, 1 and 3 dead	yes	census: 175/400 formulas have an unused var strictly between used ones; var 0 unused in 93/400	ran hits=175/400 seed=0x0C0FFEE0BADC0DE5	UNSAT 65/400; BVE at-limit proxy 47/400	n/a
R122	axeyum-cnf	crates/axeyum-cnf/src/drat.rs	1602	binary_literal_code_round_trips_positive_and_negative	seed-list	7 values [1,2,5,-1,-2,-5,12345]	literal magnitudes 1,2,5,12345	code parity matches sign; binary_code_to_dimacs inverts	a literal at a varint byte boundary (|v| = 64 -> code 128, first 2-byte code; |v| = 8192 -> code 16384, first 3-byte)	lit(64) and lit(-64)	no	the list jumps from 5 to 12345; this function does no varint itself, and the varint sibling (binary_round_trip_through_parse_recovers_the_same_steps, 1616) is a fixed example using 300 only	read	low value: the code map 2m / 2m+1 has no boundary of its own; the finding is about the byte encoder	structural-open
R123	axeyum-cnf	crates/axeyum-cnf/src/drat.rs	1723	random_unsat_proofs_round_trip_through_binary_and_check	lcg	300 (xorshift seed 0xb17e_5eed_c0ff_ee11), 193 UNSAT	vars 3..=6; clauses 4..=19; width 1..=3	binary write/parse round-trip preserves check_drat verdict and text	a literal whose code needs two or more varint bytes (|v| >= 64)	a proof over 64 variables containing lit(64)	no	vars <= 6 so every code <= 13, always a single byte; the multi-byte continuation path of push_varint/parse is exercised only by the fixed example with lit(300)	derived	UNSAT 193/300	structural-open
R124	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2381	agrees_with_the_reference_on_solver_proofs_and_their_prefixes	seed-list	3 instances (php(6), schur n=14 k=3, schur n=15 k=3) x prefix stride	solver-produced proofs; every ~1/40 prefix	backward == reference: Ok(true) on the full proof, Ok(false) on every prefix	a proof containing a RAT-but-not-RUP lemma (the backward checker's check_rat path)	blocked-clause lemma over a formula whose negated pivot has resolvents that are RUP only	no	proofs come from solve_with_drat_proof, which emits RUP lemmas and deletions only (proof_sat/inprocess/bve/simplify docs state no producer emits RAT)	read	the RAT path is covered by one hand-written example (agrees_with_the_reference_on_a_blocked_clause_rat_proof, 2360)	structural-open
R125	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2422	per_lemma_verdicts_match_the_reference_on_random_clauses	lcg	3000 (xorshift seed 0x51ed_9e1a_77c3_0e11)	vars 2..=6; clauses 2..=9; width 1..=3; lemma length 0..=3 (random literals)	engine per-lemma verify() == check_drat on a one-step proof	RAT-but-not-RUP lemma with at least one real resolution candidate (a resolvent that had to be RUP-checked)	lemma (1 2) over a formula where (-1 3) is live and (2 3) is RUP but (1 2) is not	yes	replicated is_rup/is_rat verbatim: 130 non-vacuous RAT lemmas, 275 vacuous (no candidate), 1392 RUP, 1203 rejected; 726 empty lemmas; 354 tautological lemmas; 397 with a repeated literal	ran hits=130/3000 seed=0x51ed9e1a77c30e11		n/a
R126	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2615	never_certifies_a_satisfiable_formula	lcg	400 (xorshift seed 0x2f81_44b6_c0de_1234), 258 satisfiable	vars 3..=6; clauses 3..=12; width 1..=3; junk proof 1..=6 steps of width 0..=2, Delete when next()%5==0, then the empty clause	no borrowed or junk proof certifies a SAT formula	a junk step that is RAT-but-not-RUP (the acceptance branch a broken RAT check would exploit) before the empty clause	Add(1) where no live clause contains -1	yes	replication: 24 non-vacuous and 38 vacuous RAT steps across the 258 junk proofs; every junk proof is rejected at some step (258 err), 74 deletions name an absent clause, 25 delete the empty clause	ran hits=62/258 seed=0x2f8144b6c0de1234		n/a
R127	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2665	mutated_proofs_are_rejected	lcg	120 mutations (xorshift seed 0x9e37_79b9_7f4a_7c15) of one proof	rado_colouring(14,3,1,1) proof; mutation: remove a step / negate one literal / pop one literal	more than half of the applied mutations are rejected	an accepted mutant that is not a valid refutation (an unsound acceptance)	a mutant whose flipped lemma is not RUP/RAT yet is accepted	no	the formula is UNSAT, so every accepted mutant is vacuously a sound claim; the assertion is a majority ratio and cannot attribute any single acceptance to a checker defect	derived	the test doc itself defers the soundness half to never_certifies_a_satisfiable_formula	structural-open
R128	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2718	differential_fuzz_against_the_reference_checker	lcg	900 (xorshift seed 0x0bad_c0de_dead_beef)	3-CNF with repeats/tautologies; vars 8..=15; clauses 4v..=4v+7	backward == reference on solver proofs and their prefixes; sat models satisfy	a proof containing a RAT-but-not-RUP lemma	blocked-clause lemma	no	solver proofs are RUP + deletions only; no producer emits RAT	read	DPLL census: UNSAT 286/900 (asserted > 100); every formula has a tautological clause and 898/900 a repeated literal	structural-open
R129	axeyum-cnf	crates/axeyum-cnf/src/drat_backward.rs	2763	differential_fuzz_on_perturbed_proofs	lcg	2000 proofs (xorshift seed 0x1357_9bdf_2468_ace0)	formula fixed = unsat_2x2 over 2 vars; 1..=5 steps of width 0..=2 over {1,2}; Delete when next()%4==0	whenever the reference accepts, the backward checker returns the same verdict	a RAT-but-not-RUP step (the only lemma kind where the two checkers run different code)	Add(1) after Delete(1 2) with resolvent (2) RUP	no	over unsat_2x2 every non-empty lemma over {1,2} is RUP while the four clauses are live, and after deletions no resolvent is RUP either; replication of check_drat over the configured stream: 2569 RUP steps, 860 rejected, 0 vacuous RAT, 0 non-vacuous RAT	ran hits=0/2000 seed=0x13579bdf2468ace0	reachable: deletion of a never-added clause 890, deletion of the empty clause 401, both_accept 277 (asserted > 50)	structural-open
R130	axeyum-cnf	crates/axeyum-cnf/src/gf2.rs	695	reason_subset_soundness_fuzz_no_false_subset	lcg	4000 (state 0x9E37_79B9_7F4A_7C15)	vars 1..=6 (`1 + next()%6`); rows 1..=7; each var included iff `next() & 1 == 1`; rhs `next() & 1 == 1`	unsat_reason_subset is Some iff solve is Unsat, and the subset folds to 0 = 1	a contradiction that needs TWO OR MORE DISTINCT rows combined (the elimination and the provenance bookkeeping the subset exists for)	{x0}=0 and {x0}=1; or x0+x1=0, x1+x2=0, x0+x2=1	no	the MMIX LCG (a, c odd) flips its low bit on every call, so `next() & 1` is a fixed function of call parity: nv is always odd (1, 3, 5), every row of a system is identical, and the 4000 iterations produce exactly three distinct systems -- {0=1} repeated (1317 iterations, the only UNSAT ones), {x1=1} repeated (1370), {x1+x3=1} repeated (1313); no row ever mixes even- and odd-indexed variables, no row has all vars, no system needs a row combination; `unsat_seen > 0` passes on literal 0=1 rows	ran hits=0/4000 seed=0x9E3779B97F4A7C15	replicated verbatim (gf2_degenerate.py); also unreachable: rows >= 64 (provenance bitset word boundary `p[r/64]`) and vars >= 64 -- the example reason_subset_cross_word_boundary covers vars only and says provenance is not needed	fixed-lcg-mix
R131	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5546	tseitin_sparse_encodes_private_mux_helpers	sweep	2^3 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R132	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5593	tseitin_flattens_private_and_tree_helpers	sweep	2^4 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R133	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5655	tseitin_encodes_positive_root_not_and_leaves_directly	sweep	2^4 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R134	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5718	tseitin_internal_not_and_gate_matches_truth_table_in_both_directions	sweep	2^5 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R135	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5764	tseitin_distributes_negative_root_over_private_or_tree	sweep	2^3 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R136	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	5816	tseitin_sparse_encodes_private_or_of_and_helpers	sweep	2^4 input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R137	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	6599	incremental_internal_positive_and_flattening_matches_every_input	sweep	2^inputs.len() input assignments of one fixed circuit	all inputs of a single fixture circuit	CNF satisfied by the assignment derived from the AIG inputs iff the root evaluates true; sparse replay reconstructs the root	an input assignment on which the encoding and the root disagree	any of the 2^n inputs	yes	the sweep is exhaustive over the fixture's inputs	derived	the circuit SHAPE is a single fixture; helper sharing / reuse shapes have their own example tests (5982, 6618, 6637), not a box	n/a
R138	axeyum-cnf	crates/axeyum-cnf/src/lib.rs	6890	incremental_pg_agrees_with_brute_force_and_one_shot	seed-list	6 circuits	AND chain; OR of two ANDs; XOR; negated AND root; x xor x; a or not a	incremental Plaisted-Greenbaum verdict == brute force == one-shot Tseitin; lifted model satisfies the root	an internal node consumed in BOTH polarities by two parents inside one asserted root (the mixed-polarity case where a single PG half is unsound)	n = a and b; root = (n and c) or (not n and d)	no	each fixture uses every internal node in one polarity only (xor_lit negates each inner AND once; the OR negates each AND once)	read	incremental_cnf_direct_root_remains_sound_under_opposite_reuse (6637) covers opposite reuse across two assert_root calls, not within one root	structural-open
R139	axeyum-cnf	crates/axeyum-cnf/src/lrat.rs	1578	random_unsat_drat_proofs_elaborate_and_check	lcg	600 (xorshift seed 0x0bad_c0de_dead_beef), 396 UNSAT	vars 3..=6; clauses 4..=19; width 1..=3	forward elaborate_drat_to_lrat output passes check_lrat and text round-trips	a DRAT proof with a RAT lemma (the forward elaborator's AddRat path)	blocked-clause lemma	no	solver proofs are RUP-only; the AddRat path is covered by hand-written examples only (1387, 1419)	read	UNSAT 396/600 by brute force	structural-open
R140	axeyum-cnf	crates/axeyum-cnf/src/lrat.rs	1874	never_certifies_a_satisfiable_formula	lcg	400 (xorshift seed 0x51a7_1c5e_0bad_f00d), 240 satisfiable	vars 3..=6; clauses 3..=12; width 1..=3; garbage = 6 Adds of width 1..=3 then the empty clause	certify_unsat_via_lrat never certifies a SAT formula (borrowed, truncated, bare-empty, garbage)	a garbage step that is RAT-but-not-RUP (must end in Declined(RatStep) or a later rejection, never Certified)	Add(1) with no live -1	yes	replication: 46 non-vacuous and 62 vacuous RAT garbage steps over the 240 satisfiable cases; all 240 garbage proofs are rejected at some step	ran hits=108/240 seed=0x51a71c5e0badf00d		n/a
R141	axeyum-cnf	crates/axeyum-cnf/src/lrat.rs	1950	certifies_exactly_what_the_reference_checker_verifies	lcg	600 (xorshift seed 0x0bad_c0de_dead_beef), 396 UNSAT	vars 3..=6; clauses 4..=19; width 1..=3	every check_drat-verified solver proof is Certified and the LRAT self-checks	a RAT core lemma (the documented LratDecline::RatStep boundary of the backward elaborator)	blocked-clause lemma the refutation depends on	no	solver proofs never contain RAT, so the decline branch (lrat.rs 1193) is never reached by this sweep	read	same seed and identical draw sequence as random_unsat_drat_proofs_elaborate_and_check: the two tests see the same 600 formulas	structural-open
R142	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	5545	mode_switching_preserves_verdicts_and_certificates	seed-list	12 seeds	random_3sat(24 vars, ratio 4.3 -> 103 clauses, xorshift seed 0xabc0..01 + seed*0x9e3779b9)	mode-switching run reaches the baseline verdict; sat model satisfies; unsat proof DRAT-checks	an UNSAT instance (the certificate half: a mode switch corrupting a learned clause)	seed 1	yes	DPLL on the replicated generator: seeds 1,2,4,6,7,11 UNSAT, the other 6 SAT	ran hits=6/12 seed=0xabc0000000000001		n/a
R143	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	5871	random_cnfs_self_check	lcg	400 (xorshift seed 0x1234_5678_9abc_def0)	vars 3..=7; clauses 3..=20; width 1..=3	sat model satisfies; unsat proof DRAT-checks; always decided	a clause with two or more unwatched literals (width >= 4), where the replacement-watch scan `for k in 2..len` has more than one candidate	(a or b or c or d) with a,b false and c,d unassigned	no	width is `1 + below(3)`, max 3, so exactly one unwatched literal per clause	derived	UNSAT 255/400; repeated literal 295, tautology 290, unit 376, unused var 77; blocking_literal_bcp_preserves_verdicts (6249) is the only random proof_sat box reaching width 4; pigeonhole fixtures reach width 5..9	structural-open
R144	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	6079	recursive_minimization_keeps_proofs_drat_checkable	lcg	400 (xorshift seed 0x05ee_d5a7_1234_abcd), 59 UNSAT	vars 3..=7; clauses 6..=25; width exactly 3	recursively minimized learned clauses stay RUP (proof DRAT-checks)	a clause with two or more unwatched literals (width >= 4), where the replacement-watch scan `for k in 2..len` has more than one candidate	(a or b or c or d)	no	width fixed at 3	derived	UNSAT 59/400 (asserted > 0); every UNSAT instance has no unit clause	structural-open
R145	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	6118	random_3cnf_stress_self_check	lcg	200 (xorshift seed 0x0bad_c0de_dead_beef)	vars 4..=9; clauses 5..=29; width exactly 3	sat model satisfies; unsat DRAT-checks; decided	a clause with two or more unwatched literals (width >= 4), where the replacement-watch scan `for k in 2..len` has more than one candidate	(a or b or c or d)	no	width fixed at 3	derived	UNSAT 25/200	structural-open
R146	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	6179	ema_restart_schedule_preserves_every_verdict	lcg	60 (xorshift seed 0xe1a5_7a27_c0ff_ee42)	vars 16..=27; clauses 4.2*vars; width 3	EMA-restart core reaches the Luby verdict; sat satisfies; unsat DRAT-checks	an UNSAT instance under the EMA schedule (restart timing changing a learned clause)	the second instance of the stream	yes	DPLL census: 16 of 60 UNSAT	ran hits=16/60 seed=0xe1a57a27c0ffee42	whether a glue restart actually fires inside 60 instances of this size is asserted nowhere; width >= 4 unreachable	n/a
R147	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	6249	blocking_literal_bcp_preserves_verdicts	lcg	300 (xorshift seed 0xb10c_11ad_5a7b_eef0)	vars 3..=10; clauses 4..=31; width 1..=4	sat satisfies; unsat DRAT-checks; decided	a clause with two or more unwatched literals (width >= 4), where the replacement-watch scan `for k in 2..len` has more than one candidate	(a or b or c or d)	yes	width `1 + below(4)`; census: 284/300 formulas contain a width-4 clause	ran hits=284/300 seed=0xb10c11ad5a7beef0	UNSAT 187/300	n/a
R148	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	6392	order_heap_matches_linear_scan_under_stress	lcg	20_000 ops (xorshift seed 0x51ce_d00d_face_0042)	n=64 vars; op = next()%3 in {bump random var + decay, pick + decide, backtrack to random level}	heap pick == linear scan; heap invariants after every op	a VSIDS rescale (activity > 1e100 -> every activity scaled by 1e-100 and the heap rebuilt), the branch where ties can newly form	the ~4490th bump	yes	replicated the op stream: 6609 bumps; var_inc grows by 1/0.95 per bump and passes 1e100 after 4489, ending at 1.7e147, so the rescale branch at bump_var fires	ran hits=6609/20000 seed=0x51ced00dface0042	n is fixed at 64; the initial all-zero activities exercise the index tie-break	n/a
R149	axeyum-cnf	crates/axeyum-cnf/src/proof_sat.rs	7139	reduce_db_stress_proof_checks	lcg	random arm: 200 (xorshift seed 0xfeed_face_cafe_b0dd); plus pigeonhole 6,7,8	vars 5..=12; clauses 8..=37; width 3	sat satisfies; unsat (with deletions) DRAT-checks; PHP arm known UNSAT	a clause-database reduction firing on a SATISFIABLE instance (a wrong deletion of a locked reason clause is visible only on the model path)	a 12-var random 3-CNF that reaches 1000 conflicts and is SAT	no	the first reduction is due at 1000 conflicts (clause_db_policy interval 1000); a <= 12-var, <= 37-clause 3-CNF decides in far fewer (no hard bound derived, but the test's own comment attributes every reduction to the PHP arm, which is UNSAT-only)	derived	UNSAT 20/200 in the random arm	structural-open
R150	axeyum-cnf	crates/axeyum-cnf/src/simplify.rs	799	random_formulas_are_logically_equivalent	lcg	400 (xorshift seed 0x9E37_79B9_7F4A_7C15)	NVARS=5; clauses 1..=12; width 1..=4	simplify output brute-force equivalent to input; re-simplify is a fixpoint	self-subsuming resolution pair C=(l or R), D=(not l or R') with R' subset of R (strengthening, not plain subsumption)	(a or b or c) with (not a or b)	yes	census finds a strengthening pair in 297/400 formulas; strict subsumption pair 278/400; duplicate clause pair 79/400	ran hits=297/400 seed=0x9E3779B97F4A7C15	not reachable but cost-only: SUBSUME_MAX_ROUNDS=32 (needs >= 33 dependent rounds; the box has <= 48 literals) and SUBSUME_CLAUSE_LIMIT=100; UNSAT 77/400; tautological clauses 533, duplicate-literal clauses 576	n/a
R151	axeyum-cnf	crates/axeyum-cnf/src/simplify.rs	831	large_formula_simplifies_quickly_and_soundly	lcg	1 formula of 6000 clauses (xorshift seed 0x0123_4567_89AB_CDEF)	NVARS=200; width 2..=5; the FIRST literal of every clause is forced positive	output never grows and the all-true assignment still satisfies it	a strengthening that removes some model other than all-true (the unsound literal drop that keeps at least one positive literal per clause)	strengthening (not a or b) to (b): all-true still satisfies both	no	the box plants a positive literal in every clause so all-true satisfies input and output whatever the pass does; the only semantic assertion is that one model; a pass deleting every negative literal would pass	derived	the test doc says brute force is impossible at 200 vars; the guard chosen cannot see an unsound strengthening	structural-open
R152	axeyum-cnf	crates/axeyum-cnf/src/vivify.rs	748	drat_self_verifies_on_many_random_cnfs	lcg	600 (seed 0xC0FF_EE12_3456_789A)	NVARS=5; clauses 1..=14; width 1..=4; var `(lcg>>33)%5`; sign `lcg & 1`	emitted DRAT verifies against the original; never grows	a clause mixing polarities (an implication clause such as (not a or b), the shape a vivification assumption propagates THROUGH)	(a or b or c) with (not a or b) -- assuming not a, not b, not c forces b: strengthen to (a or b)	no	sign is `lcg(state) & 1` on the RAW state and the MMIX LCG (a, c odd) flips its low bit every call; a literal costs exactly two calls (var then sign) so every sign draw inside one clause lands on the same parity and every clause is all-positive or all-negative (alternating); replication of the seed and count found 0 mixed-polarity clauses and 0 tautologies	ran hits=0/600 seed=0xC0FFEE123456789A	reachable: UNSAT 201/600, duplicate literals 1837 clauses, units 1170; all-positive formulas 18; the propagation_budget (1<<22), clause_size_limit (100) and max_rounds (4) are never approached at 5 vars	fixed-lcg-mix
R153	axeyum-cnf	crates/axeyum-cnf/src/vivify.rs	775	equisatisfiability_differential_with_model_replay	lcg	600 (seed 0x1357_9BDF_2468_ACE0)	NVARS=5; clauses 1..=14; width 1..=4; sign `lcg & 1`	original and vivified agree sat/unsat via solve_with_drat_proof; vivified model satisfies original; strengthen_count > 0	a clause mixing polarities (an implication clause such as (not a or b), the shape a vivification assumption propagates THROUGH)	(a or b or c) with (not a or b) -- assuming not a, not b, not c forces b: strengthen to (a or b)	no	sign is `lcg(state) & 1` on the RAW state and the MMIX LCG (a, c odd) flips its low bit every call; a literal costs exactly two calls (var then sign) so every sign draw inside one clause lands on the same parity and every clause is all-positive or all-negative (alternating); replication of the seed and count found 0 mixed-polarity clauses and 0 tautologies	ran hits=0/600 seed=0x13579BDF2468ACE0	UNSAT 221/600; the `strengthen_count > 0` guard is met by subsumption-shaped monotone pairs only	fixed-lcg-mix
R154	axeyum-cnf	crates/axeyum-cnf/src/vivify.rs	824	brute_force_model_preservation_on_many_random_cnfs	lcg	600 (seed 0xABCD_EF01_2345_6789)	NVARS=5; clauses 1..=14; width 1..=4; sign `lcg & 1`	brute-force model equivalence; second pass never grows	a clause mixing polarities (an implication clause such as (not a or b), the shape a vivification assumption propagates THROUGH)	(a or b or c) with (not a or b) -- assuming not a, not b, not c forces b: strengthen to (a or b)	no	sign is `lcg(state) & 1` on the RAW state and the MMIX LCG (a, c odd) flips its low bit every call; a literal costs exactly two calls (var then sign) so every sign draw inside one clause lands on the same parity and every clause is all-positive or all-negative (alternating); replication of the seed and count found 0 mixed-polarity clauses and 0 tautologies	ran hits=0/600 seed=0xABCDEF0123456789	UNSAT 207/600	fixed-lcg-mix
R155	axeyum-cnf	crates/axeyum-cnf/src/xor_cdcl.rs	1249	learning_required_parity_chain_unsat	seed-list	n in [4,8,12,16] (4 instances)	parity_chain_unsat(n): n-1 equality gates + one inequality gate; all UNSAT	verdict Unsat and >= 1 learned-clause conflict	a satisfiable parity ring (closing gate x0 xor x_{n-1} = 0), the instance on which a wrong-UNSAT would be observable	parity_chain with the last gate parity false, n=4	no	every instance in the list is UNSAT by construction; a solver answering Unsat unconditionally passes the verdict half	read	the random differentials above carry the SAT side; this row only pins the UNSAT one	structural-open
R156	axeyum-cnf	crates/axeyum-cnf/src/xor_cdcl.rs	1270	learning_required_matches_native_core_on_chain	seed-list	n in [4,8,12,16,20] (5 instances)	parity_chain_unsat(n), all UNSAT	xor_cdcl Unsat and native core Unsat	a satisfiable parity ring (closing gate x0 xor x_{n-1} = 0), the instance on which a wrong-UNSAT would be observable	parity_chain with the last gate parity false, n=4	no	all instances UNSAT; the assertion is `assert_eq!(ours, Unsat)` so agreement on a SAT ring is never tested	read		structural-open
R157	axeyum-cnf	crates/axeyum-cnf/src/xor_cdcl.rs	1401	brute_force_agreement_random	lcg	runs=500 (seed 0x5eed_1234_abcd_0001)	vars 3..=13; plain clauses 0..=4 of width 1..=3 (vars may repeat, signs random); planted XOR gates 0..=2 of width 2..=3 over distinct vars	solve_with_xor_cdcl verdict == brute force; model in oracle set	planted XOR gate of width >= 4 (extract_xors recognizes 2..=8; a width-4 gate is 8 clauses of width 4, i.e. two unwatched literals per clause and a wider matrix row)	x0 xor x1 xor x2 xor x3 = 1 (8 clauses) plus one unit	no	gate width is `2 + rng.below(2)`, so 2 or 3 only; replicated the MMIX LCG (next_u32 = state>>32) and the generator for the configured seed and run count	ran hits=0/500 seed=0x5eed1234abcd0001	UNSAT 17/500 (8 need XOR); 0-clause 36; dup 118; taut 86	structural-open
