fact_id	route	curation	language	subject	n_evidence	n_checkers	checker_fanout_min	checker_fanout_max	kernel_theorem	per_theorem_footprint	env_footprint	circularity	semantic_falsification	mutation_control	independent_replay	coverage_bearing_checker	protection_count	exact_statement	subject_guessed	coverage_by_guess_only	checkers_multi	checkers_name_producer
F:creal-costerm	kernel-lean	-	lean4	CReal.cosTerm	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-costermabsledominant	kernel-lean	-	lean4	CReal.cosTermAbsLeDominant	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingclose	kernel-lean	-	lean4	CReal.crossingClose	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingcloseclamped	kernel-lean	-	lean4	CReal.crossingCloseClamped	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingindex	kernel-lean	-	lean4	CReal.crossingIndex	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossinglower	kernel-lean	-	lean4	CReal.crossingLower	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingsamplegea	kernel-lean	-	lean4	CReal.crossingSampleGeA	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingsamplelower	kernel-lean	-	lean4	CReal.crossingSampleLower	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingsampleupper	kernel-lean	-	lean4	CReal.crossingSampleUpper	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-crossingupper	kernel-lean	-	lean4	CReal.crossingUpper	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-density	kernel-lean	generated-unreviewed	lean4	CReal.density	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-diff-le-of-strict-mono-magnitude	kernel-lean	generated-unreviewed	lean4	CReal.diff_le_of_strict_mono_magnitude	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-e-converges	kernel-lean	-	lean4	CReal.e_converges	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-e-le-four	kernel-lean	-	lean4	CReal.e_le_four	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-e-le-three	kernel-lean	-	lean4	CReal.e_le_three	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-e	kernel-lean	-	lean4	CReal.e	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-eq-zero-of-add-eq-zero-of-nonneg	kernel-lean	generated-unreviewed	lean4	CReal.eq_zero_of_add_eq_zero_of_nonneg	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-eq-zero-of-mul-self-zero	kernel-lean	generated-unreviewed	lean4	CReal.eq_zero_of_mul_self_zero	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-equiv-not-zero-one	kernel-lean	generated-unreviewed	lean4	CReal.Equiv.not_zero_one	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-equiv-of-bounded	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.Equiv.of_bounded	yes	yes	yes
F:creal-equiv-of-le-le	kernel-lean	generated-unreviewed	lean4	CReal.equiv_of_le_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-equiv-of-pointwise	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.Equiv.of_pointwise	yes	yes	yes
F:creal-equiv-refl	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.Equiv.refl	yes	yes	yes
F:creal-equiv-symm	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.Equiv.symm	yes	yes	yes
F:creal-equiv-trans	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.Equiv.trans	yes	yes	yes
F:creal-equiv-zero-of-rate	kernel-lean	generated-unreviewed	lean4	CReal.equiv_zero_of_rate	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-equiv-zero-of-small	kernel-lean	generated-unreviewed	lean4	CReal.equiv_zero_of_small	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-equivabsdiffle	kernel-lean	generated-unreviewed	lean4	CReal.equivAbsDiffLe	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-evt-attained-max-decides-sign	kernel-lean	curated	lean4	CReal.evt_attained_max_decides_sign	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-exp-dominant-nonneg	kernel-lean	generated-unreviewed	lean4	CReal.exp_dominant_nonneg	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-exp-term-abs-le-dominant	kernel-lean	generated-unreviewed	lean4	CReal.exp_term_abs_le_dominant	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-exp-term-le-dominant	kernel-lean	generated-unreviewed	lean4	CReal.exp_term_le_dominant	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-exp-term-nonneg	kernel-lean	generated-unreviewed	lean4	CReal.exp_term_nonneg	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expdominantcauchy	kernel-lean	-	lean4	CReal.expDominantCauchy	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expfn-one-equiv-e	kernel-lean	generated-unreviewed	lean4	CReal.expFn_one_equiv_e	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expfntermabsle	kernel-lean	generated-unreviewed	lean4	CReal.expFnTermAbsLe	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expfnuniformconverges	kernel-lean	generated-unreviewed	lean4	CReal.expFnUniformConverges	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expofmodulus-le-trueexpofmodulus	kernel-lean	generated-unreviewed	lean4	CReal.expOfModulus_le_trueExpOfModulus	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expseriespartialconverges	kernel-lean	generated-unreviewed	lean4	CReal.expSeriesPartialConverges	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expterm-antitone	kernel-lean	-	lean4	CReal.expTerm_antitone	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expterm-le-geom	kernel-lean	-	lean4	CReal.expTerm_le_geom	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expterm-one-eq-one	kernel-lean	-	lean4	CReal.expTerm_one_eq_one	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-expterm-zero-eq-one	kernel-lean	-	lean4	CReal.expTerm_zero_eq_one	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-exptermsuccscale	kernel-lean	generated-unreviewed	lean4	CReal.expTermSuccScale	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-fermat-interiorextremum	kernel-lean	generated-unreviewed	lean4	CReal.fermat_interiorExtremum	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-fineblocksum-close	kernel-lean	generated-unreviewed	lean4	CReal.fineBlockSum_close	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-finesample-close	kernel-lean	generated-unreviewed	lean4	CReal.fineSample_close	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-finesample-in-bounds	kernel-lean	generated-unreviewed	lean4	CReal.fineSample_in_bounds	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-pair-within	kernel-lean	generated-unreviewed	lean4	CReal.geom_pair_within	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-sum-bounded	kernel-lean	generated-unreviewed	lean4	CReal.geom_sum_bounded	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-tail-bounded-div	kernel-lean	generated-unreviewed	lean4	CReal.geom_tail_bounded_div	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-tail-bounded	kernel-lean	generated-unreviewed	lean4	CReal.geom_tail_bounded	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-tail-within-le	kernel-lean	generated-unreviewed	lean4	CReal.geom_tail_within_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geom-tail-within	kernel-lean	generated-unreviewed	lean4	CReal.geom_tail_within	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchy	kernel-lean	-	lean4	CReal.geomCauchy	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchybody16over25	kernel-lean	generated-unreviewed	lean4	CReal.geomCauchyBody16Over25	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchybodyofgap	kernel-lean	generated-unreviewed	lean4	CReal.geomCauchyBodyOfGap	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchyoflt	kernel-lean	-	lean4	CReal.geomCauchyOfLt	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchyofltordered	kernel-lean	-	lean4	CReal.geomCauchyOfLtOrdered	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchyordered16over25	kernel-lean	generated-unreviewed	lean4	CReal.geomCauchyOrdered16Over25	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchyorderedhalf	kernel-lean	generated-unreviewed	lean4	CReal.geomCauchyOrderedHalf	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomcauchyorderedofgap	kernel-lean	generated-unreviewed	lean4	CReal.geomCauchyOrderedOfGap	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomhalfinvleafbound	kernel-lean	generated-unreviewed	lean4	CReal.geomHalfInvLeafBound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomscaledcauchyoflt	kernel-lean	-	lean4	CReal.geomScaledCauchyOfLt	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomybound	kernel-lean	generated-unreviewed	lean4	CReal.geomYBound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-geomyboundraw	kernel-lean	generated-unreviewed	lean4	CReal.geomYBoundRaw	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-add	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_add	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-antiderivative	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_antiderivative	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-chain-id-sq	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_chain_id_sq	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-chain	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_chain	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-closeofequiv	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_closeOfEquiv	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-congr	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_congr	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-const	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_const	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-cube	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_cube	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-id	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_id	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-integral-const	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_integral_const	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-mul	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.hasDerivative_mul	yes	yes	no
F:creal-hasderivative-neg	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_neg	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-pow-two	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_pow_two	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-pow	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_pow	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-smul	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_smul	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-sq	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_sq	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-sub	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_sub	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-uniform-limit	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_uniform_limit	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivative-unique	kernel-lean	generated-unreviewed	lean4	CReal.hasDerivative_unique	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-hasderivativeon-spec	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.HasDerivativeOn.spec	yes	yes	yes
F:creal-integral-abs-le-of-bound	kernel-lean	generated-unreviewed	lean4	CReal.integral_abs_le_of_bound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-abs-le	kernel-lean	generated-unreviewed	lean4	CReal.integral_abs_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-add	kernel-lean	-	lean4	CReal.integral_add	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-by-parts	kernel-lean	generated-unreviewed	lean4	CReal.integral_by_parts	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-const	kernel-lean	-	lean4	CReal.integral_const	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-converges	kernel-lean	-	lean4	CReal.integral_converges	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-eq-antideriv-diff	kernel-lean	generated-unreviewed	lean4	CReal.integral_eq_antideriv_diff	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-le	kernel-lean	-	lean4	CReal.integral_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-scale	kernel-lean	-	lean4	CReal.integral_scale	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-split	kernel-lean	generated-unreviewed	lean4	CReal.integral_split	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-sub-linear-le	kernel-lean	generated-unreviewed	lean4	CReal.integral_sub_linear_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral-witness-independent	kernel-lean	-	lean4	CReal.integral_witness_independent	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integral	kernel-lean	-	lean4	CReal.integral	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integralendpointclose	kernel-lean	generated-unreviewed	lean4	CReal.integralEndpointClose	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integralsplitanywhere	kernel-lean	generated-unreviewed	lean4	CReal.integralSplitAnywhere	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-integralsplitarbitrary	kernel-lean	generated-unreviewed	lean4	CReal.integralSplitArbitrary	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-inv-congr	kernel-lean	generated-unreviewed	lean4	CReal.inv_congr	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-inv-index-irrelevant	kernel-lean	generated-unreviewed	lean4	CReal.inv_index_irrelevant	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-inv-nonneg	kernel-lean	generated-unreviewed	lean4	CReal.inv_nonneg	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-inverse-lipschitz-of-pos-deriv	kernel-lean	generated-unreviewed	lean4	CReal.inverse_lipschitz_of_pos_deriv	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-invleofposbound	kernel-lean	generated-unreviewed	lean4	CReal.invLeOfPosBound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-approx	kernel-lean	curated	lean4	CReal.ivt_approx	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-bisect-approx	kernel-lean	curated	lean4	CReal.ivt_bisect_approx	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-bisect-cauchy-bound	kernel-lean	curated	lean4	CReal.ivt_bisect_cauchy_bound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-bisect-cauchy	kernel-lean	curated	lean4	CReal.ivt_bisect_cauchy	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-bisect-invariant	kernel-lean	curated	lean4	CReal.ivt_bisect_invariant	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-exact-root-at	kernel-lean	curated	lean4	CReal.ivt_exact_root_at	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-exact-root-decides-sign	kernel-lean	-	lean4	CReal.ivt_exact_root_decides_sign	4	4	1	463	yes	no	yes	no	yes	no	no	yes	4	yes	-	no	yes	yes
F:creal-ivt-exact-root	kernel-lean	curated	lean4	CReal.ivt_exact_root	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-iter	kernel-lean	curated	lean4	CReal.ivt_iter	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-ivt-step	kernel-lean	curated	lean4	CReal.ivt_step	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-abs-self	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_abs_self	yes	yes	yes
F:creal-le-add-of-abs-sub-le	kernel-lean	generated-unreviewed	lean4	CReal.le_add_of_abs_sub_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-add-of-nonneg	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_add_of_nonneg	yes	yes	yes
F:creal-le-congr	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_congr	yes	yes	yes
F:creal-le-max-left	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_max_left	yes	yes	yes
F:creal-le-max-right	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_max_right	yes	yes	yes
F:creal-le-min	kernel-lean	generated-unreviewed	lean4	CReal.le_min	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-of-equiv	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_of_equiv	yes	yes	yes
F:creal-le-of-forall-le-add-rate	kernel-lean	generated-unreviewed	lean4	CReal.le_of_forall_le_add_rate	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-of-forall-le-add-small	kernel-lean	generated-unreviewed	lean4	CReal.le_of_forall_le_add_small	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-of-lt	kernel-lean	generated-unreviewed	lean4	CReal.le_of_lt	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-of-mul-le-mul-left	kernel-lean	generated-unreviewed	lean4	CReal.le_of_mul_le_mul_left	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-of-sq-le	kernel-lean	generated-unreviewed	lean4	CReal.le_of_sq_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-le-refl	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_refl	yes	yes	yes
F:creal-le-trans	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.le_trans	yes	yes	yes
F:creal-left-distrib	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.left_distrib	yes	yes	yes
F:creal-limit-dist	kernel-lean	generated-unreviewed	lean4	CReal.limit_dist	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-limitseq-regular	kernel-lean	generated-unreviewed	lean4	CReal.limitSeq_regular	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lipschitz-of-deriv-bound	kernel-lean	generated-unreviewed	lean4	CReal.lipschitz_of_deriv_bound	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-congr	kernel-lean	generated-unreviewed	lean4	CReal.lt_congr	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-cotrans	kernel-lean	generated-unreviewed	lean4	CReal.lt_cotrans	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-irrefl	kernel-lean	generated-unreviewed	lean4	CReal.lt_irrefl	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-of-le-of-lt	kernel-lean	generated-unreviewed	lean4	CReal.lt_of_le_of_lt	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-of-lt-of-le	kernel-lean	generated-unreviewed	lean4	CReal.lt_of_lt_of_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-lt-trans	kernel-lean	generated-unreviewed	lean4	CReal.lt_trans	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-mag-bound-le-sumrange-of-lt	kernel-lean	generated-unreviewed	lean4	CReal.mag_bound_le_sumRange_of_lt	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-max-congr	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.max_congr	yes	yes	yes
F:creal-max-le	kernel-lean	-	lean4	-	2	2	1	463	no	no	yes	no	no	no	no	no	1	yes	CReal.max_le	yes	yes	yes
F:creal-max-mono-right	kernel-lean	generated-unreviewed	lean4	CReal.max_mono_right	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-max-sub-min	kernel-lean	generated-unreviewed	lean4	CReal.max_sub_min	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-mono	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_mono	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-self-le	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_self_le	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-succ	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_succ	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-transport	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_transport	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-ub	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_ub	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-maxrange-zero	kernel-lean	generated-unreviewed	lean4	CReal.maxRange_zero	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-mesh-count-width	kernel-lean	generated-unreviewed	lean4	CReal.mesh_count_width	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-mesh-le-of-ge	kernel-lean	generated-unreviewed	lean4	CReal.mesh_le_of_ge	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-meshlevelcount-succ	kernel-lean	generated-unreviewed	lean4	CReal.meshLevelCount_succ	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-meshlevelcount-zero	kernel-lean	generated-unreviewed	lean4	CReal.meshLevelCount_zero	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:creal-meshmax-mono	kernel-lean	generated-unreviewed	lean4	CReal.meshMax_mono	2	2	1	463	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
